SA Professional Approach,SA Attitude And Friendliness,SA Product Knowledge,On The Promised Time,Completed First Time,SA Explained The Work ,Cleaned Properly ,NPS,Service Advisor,PLANT
9,9,9,9,9,9,9,9,Deepal Kariyawasam,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Samith Wickramasinghe,Siyambalape Service Complex
9,9,9,9,9,9,9,9,ASIRI HERATH,Balagolla Branch
7,7,8,10,10,10,10,10,KAPILA KARUNARATHNA,Anuradhapura Branch
9,9,9,9,9,9,9,10,Lahiru Sandeep,Matara Branch
9,9,9,9,9,9,9,9,LAXMAN WIJAYASIRI,Kurunegala Regional Centere
10,10,10,8,8,8,9,10,BUDDHIKA RAJAPAKSE,Siyambalape Service Complex
8,8,10,10,10,8,10,10,KAPILA KARUNARATHNA,Anuradhapura Branch
9,9,9,9,9,9,9,9,KAPILA KARUNARATHNA,Anuradhapura Branch
9,9,9,9,9,9,9,9,ASIRI HERATH,Balagolla Branch
10,10,10,8,10,5,10,10,ASIRI HERATH,Balagolla Branch
9,9,9,9,9,9,9,9,Samith Wickramasinghe,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Samith Wickramasinghe,Siyambalape Service Complex
9,9,9,9,9,9,9,9,UMESH SABARAGAMUWA,Rathmalana Branch
10,10,10,5,10,10,9,10,CHALANA JAYATHILAKE,Anuradhapura Branch
10,10,8,8,9,9,9,10,KAVINGA KITHULGODA,Rathmalana Branch
10,10,10,8,10,5,10,10,IMAL ARIYACHANDRA,Mahiyangana Branch
9,9,9,9,9,10,9,9,UMESH SABARAGAMUWA,Rathmalana Branch
9,9,8,9,10,10,9,10,Thuraisingam Prakash,Batticoloa Branch
10,10,10,8,7,9,10,10,SUTHARSAN SUTHARSAN,Jaffna Branch
9,9,9,8,9,10,10,10,BUDDHIKA RAJAPAKSE,Siyambalape Service Complex
9,9,9,8,9,10,10,9,CHAMILA GUNATILAKE,Siyambalape Service Complex
10,10,10,7,10,10,8,10,KALPAJITH WIJETHUNGA,Mathugama Branch
10,10,10,7,10,10,8,9,Samith Wickramasinghe,Siyambalape Service Complex
8,8,10,10,10,10,8,10,Lakmal Perera,Kuruwita Branch
9,9,9,10,10,8,10,9,PRADEEP PRIYANKARA,Embilipitiya Branch
8,8,10,10,10,10,10,10,IMAL ARIYACHANDRA,Mahiyangana Branch
8,8,8,10,10,10,10,8,ASIRI HERATH,Balagolla Branch
10,10,10,10,10,10,10,,ASIRI HERATH,Balagolla Branch
10,10,10,5,10,10,10,10,LAXMAN WIJAYASIRI,Kurunegala Regional Centere
10,10,10,10,10,10,5,10,Samith Wickramasinghe,Siyambalape Service Complex
10,10,10,10,5,10,10,10,IRANGA DISSANAYAKA,Kurunegala Regional Centere
10,10,10,10,10,5,10,10,BUDDHIKA RAJAPAKSE,Siyambalape Service Complex
10,10,8,10,10,10,7,9,ASIRI HERATH,Balagolla Branch
9,9,9,10,10,10,9,10,Deepal Kariyawasam,Siyambalape Service Complex
10,10,10,10,5,10,10,10,LAXMAN WIJAYASIRI,Kurunegala Regional Centere
10,10,10,5,10,10,10,10,KALANA SILVA,Tissamaharama Branch
10,10,10,10,10,10,6,5,Lakmal Perera,Kuruwita Branch
10,10,10,7,10,10,10,10,LAXMAN WIJAYASIRI,Kurunegala Regional Centere
10,10,10,10,10,10,8,10,BUDDHIKA RAJAPAKSE,Siyambalape Service Complex
10,10,10,9,10,10,10,6,KAPILA KARUNARATHNA,Anuradhapura Branch
10,10,10,8,10,10,10,9,ASIRI HERATH,Balagolla Branch
8,10,10,10,10,8,10,9,IRANGA DISSANAYAKA,Kurunegala Regional Centere
8,10,10,10,10,8,10,9,KAPILA KARUNARATHNA,Anuradhapura Branch
10,10,10,8,8,10,10,10,KALANA SILVA,Tissamaharama Branch
9,9,10,10,10,10,10,10,KALANA SILVA,Tissamaharama Branch
10,10,10,7,10,10,10,10,Deepal Kariyawasam,Siyambalape Service Complex
10,10,10,10,10,10,7,10,Lahiru Sandeep,Matara Branch
10,10,9,10,10,10,9,10,Samith Wickramasinghe,Siyambalape Service Complex
10,10,10,10,10,10,10,10,Samith Wickramasinghe,Siyambalape Service Complex
10,10,10,10,10,10,10,10,SUTHARSAN SUTHARSAN,Jaffna Branch
9,9,10,10,10,9,10,10,CHALANA JAYATHILAKE,Anuradhapura Branch
10,10,10,10,7,10,10,10,BUDDHIKA RAJAPAKSE,Siyambalape Service Complex
10,10,8,10,10,10,10,10,JANAKA HERATH,Kurunegala Regional Centere
10,10,10,10,10,8,10,10,KALANA SILVA,Tissamaharama Branch
10,10,10,8,10,10,10,10,JANAKA HERATH,Kurunegala Regional Centere
10,10,9,10,10,9,10,10,KAPILA KARUNARATHNA,Anuradhapura Branch
10,10,8,10,10,10,10,10,KAPILA KARUNARATHNA,Anuradhapura Branch
10,10,10,10,10,8,10,10,Samith Wickramasinghe,Siyambalape Service Complex
10,10,10,8,10,10,10,8,CHAMILA GUNATILAKE,Siyambalape Service Complex
10,10,10,10,10,10,10,8,KAVINGA KITHULGODA,Rathmalana Branch
10,10,10,10,10,10,8,10,Thuraisingam Prakash,Batticoloa Branch
10,10,10,10,8,10,10,5,KAPILA KARUNARATHNA,Anuradhapura Branch
10,10,10,10,10,10,10,10,KAPILA KARUNARATHNA,Anuradhapura Branch
10,10,10,8,10,10,10,10,CHAMILA GUNATILAKE,Siyambalape Service Complex
10,10,10,10,10,10,10,10,Thuraisingam Prakash,Batticoloa Branch
10,10,10,10,9,10,10,10,KALANA SILVA,Tissamaharama Branch
10,10,10,9,10,10,10,10,BUDDHIKA RAJAPAKSE,Siyambalape Service Complex
10,10,10,9,10,10,10,10,RAJITHA WATTEGEDARA,Balagolla Branch
10,10,9,10,10,10,10,10,JANAKA HERATH,Kurunegala Regional Centere
10,10,10,9,10,10,10,10,KALANA SILVA,Tissamaharama Branch
10,10,10,9,10,10,10,10,LAXMAN WIJAYASIRI,Kurunegala Regional Centere
10,10,10,10,10,10,9,10,Deepal Kariyawasam,Siyambalape Service Complex
10,10,10,10,10,10,10,9,BUDDHIKA RAJAPAKSE,Siyambalape Service Complex
10,10,10,10,10,10,10,10,Deepal Kariyawasam,Siyambalape Service Complex
10,10,10,10,10,10,10,10,JANAKA HERATH,Kurunegala Regional Centere
10,10,10,10,10,10,10,9,Lahiru Sandeep,Matara Branch
10,10,10,10,10,10,10,10,Lakmal Perera,Kuruwita Branch
10,10,10,10,10,10,10,10,KAVINGA KITHULGODA,Rathmalana Branch
10,10,10,10,10,10,10,10,IMAL ARIYACHANDRA,Mahiyangana Branch
10,10,10,10,10,10,10,10,ASIRI HERATH,Balagolla Branch
10,10,10,10,10,10,10,,Lahiru Sandeep,Matara Branch
10,10,10,10,10,10,10,,KALPAJITH WIJETHUNGA,Mathugama Branch
10,10,10,10,10,10,10,10,Samith Wickramasinghe,Siyambalape Service Complex
10,10,10,10,10,10,10,10,Lakmal Perera,Kuruwita Branch
10,10,10,10,10,10,10,10,Lahiru Sandeep,Matara Branch
10,10,10,10,10,10,10,10,ASIRI HERATH,Balagolla Branch
10,10,10,10,10,10,10,10,Lahiru Sandeep,Matara Branch
10,10,10,10,10,10,10,10,Lahiru Sandeep,Matara Branch
10,10,10,10,10,10,10,10,Lahiru Sandeep,Matara Branch
10,10,10,10,10,10,10,10,JANAKA HERATH,Kurunegala Regional Centere
10,10,10,10,10,10,10,10,CHALANA JAYATHILAKE,Anuradhapura Branch
10,10,10,10,10,10,10,10,LAXMAN WIJAYASIRI,Kurunegala Regional Centere
10,10,10,10,10,10,10,10,IMAL ARIYACHANDRA,Mahiyangana Branch
10,10,10,10,10,10,10,10,Samith Wickramasinghe,Siyambalape Service Complex
10,10,10,10,10,10,10,10,KALPAJITH WIJETHUNGA,Mathugama Branch
10,10,10,10,10,10,10,10,KAPILA KARUNARATHNA,Anuradhapura Branch
10,10,10,10,10,10,10,10,UMESH SABARAGAMUWA,Rathmalana Branch
10,10,10,10,10,10,10,10,ASIRI HERATH,Balagolla Branch
10,10,10,10,10,10,10,10,KAPILA KARUNARATHNA,Anuradhapura Branch
10,10,10,10,10,10,10,10,Lahiru Sandeep,Matara Branch
10,10,10,10,10,10,10,10,BUDDHIKA RAJAPAKSE,Siyambalape Service Complex
10,10,10,10,10,10,10,10,Lahiru Sandeep,Matara Branch
10,10,10,10,10,10,10,10,SUTHARSAN SUTHARSAN,Jaffna Branch
10,10,10,10,10,10,10,10,RAJITHA WANNIARACHCHI,Siyambalape Service Complex
10,10,10,10,10,10,10,10,KAVINGA KITHULGODA,Rathmalana Branch
10,10,10,10,10,10,10,10,Samith Wickramasinghe,Siyambalape Service Complex
10,10,10,10,10,10,10,10,ASIRI HERATH,Balagolla Branch
10,10,10,10,10,10,10,10,Deepal Kariyawasam,Siyambalape Service Complex
10,10,10,10,10,10,10,10,IMAL ARIYACHANDRA,Mahiyangana Branch
10,10,10,10,10,10,10,10,ASIRI HERATH,Balagolla Branch
10,10,10,10,10,10,10,10,PRADEEP PRIYANKARA,Embilipitiya Branch
10,10,10,10,10,10,10,10,Samith Wickramasinghe,Siyambalape Service Complex
10,10,10,10,10,10,10,10,Samith Wickramasinghe,Siyambalape Service Complex
10,10,10,10,10,10,10,7,ASIRI HERATH,Balagolla Branch
10,10,10,10,10,10,10,10,BUDDHIKA RAJAPAKSE,Siyambalape Service Complex
10,10,10,10,10,10,10,10,IMAL ARIYACHANDRA,Mahiyangana Branch
10,10,10,10,10,10,10,10,Samith Wickramasinghe,Siyambalape Service Complex
10,10,10,10,10,10,10,10,Thuraisingam Prakash,Batticoloa Branch
10,10,10,10,10,10,10,10,SUTHARSAN SUTHARSAN,Jaffna Branch
10,10,10,10,10,10,10,10,SUTHARSAN SUTHARSAN,Jaffna Branch
10,10,10,10,10,10,10,10,SUTHARSAN SUTHARSAN,Jaffna Branch
10,10,10,10,10,10,10,10,SUTHARSAN SUTHARSAN,Jaffna Branch
10,10,10,10,10,10,10,10,SUTHARSAN SUTHARSAN,Jaffna Branch
10,10,10,10,10,10,10,10,SUTHARSAN SUTHARSAN,Jaffna Branch
10,10,10,10,10,10,10,10,LAXMAN WIJAYASIRI,Kurunegala Regional Centere
10,10,10,10,10,10,10,9,Lakmal Perera,Kuruwita Branch
10,10,10,10,10,10,10,10,CHALANA JAYATHILAKE,Anuradhapura Branch
10,10,10,10,10,10,10,9,Lakmal Perera,Kuruwita Branch
10,10,10,10,10,10,10,9,Lakmal Perera,Kuruwita Branch
10,10,10,10,10,10,10,10,JANAKA HERATH,Kurunegala Regional Centere
10,10,10,10,10,10,10,9,KAPILA KARUNARATHNA,Anuradhapura Branch
10,10,10,10,10,10,10,10,PRADEEP PRIYANKARA,Embilipitiya Branch
10,10,10,10,10,10,10,10,Samith Wickramasinghe,Siyambalape Service Complex
10,10,10,10,10,10,10,10,UMESH SABARAGAMUWA,Rathmalana Branch
10,10,10,10,10,10,10,10,Samith Wickramasinghe,Siyambalape Service Complex
10,10,10,10,10,10,10,10,Samith Wickramasinghe,Siyambalape Service Complex
10,10,10,10,10,10,10,10,Lahiru Sandeep,Matara Branch
10,10,10,10,10,10,10,10,Samith Wickramasinghe,Siyambalape Service Complex
10,10,10,10,10,10,10,10,KALPAJITH WIJETHUNGA,Mathugama Branch
10,10,10,10,10,10,10,10,Samith Wickramasinghe,Siyambalape Service Complex
10,10,10,10,10,10,10,10,UMESH SABARAGAMUWA,Rathmalana Branch
10,10,10,10,10,10,10,10,ASIRI HERATH,Balagolla Branch
10,10,10,10,10,10,10,10,CHAMILA GUNATILAKE,Siyambalape Service Complex
10,10,10,10,10,10,10,10,Deepal Kariyawasam,Siyambalape Service Complex
10,10,10,10,10,10,10,10,UMESH SABARAGAMUWA,Rathmalana Branch
10,10,10,10,10,10,10,10,ASIRI HERATH,Balagolla Branch
10,10,10,10,10,10,10,10,RANDIKA WIMALAGUNARATHNA,Matara Branch
10,10,10,10,10,10,10,10,SUTHARSAN SUTHARSAN,Jaffna Branch
10,10,10,10,10,10,10,10,Samith Wickramasinghe,Siyambalape Service Complex
10,10,10,10,10,10,10,10,BUDDHIKA RAJAPAKSE,Siyambalape Service Complex
10,10,10,10,10,10,10,10,ASIRI HERATH,Balagolla Branch
10,10,10,10,10,10,10,10,Lahiru Sandeep,Matara Branch
10,10,10,10,10,10,10,10,CHALANA JAYATHILAKE,Anuradhapura Branch
10,10,10,10,10,10,10,10,Lahiru Sandeep,Matara Branch
10,10,10,10,10,10,10,10,Deepal Kariyawasam,Siyambalape Service Complex
10,10,10,10,10,10,10,10,LAXMAN WIJAYASIRI,Kurunegala Regional Centere
10,10,10,10,10,10,10,10,LAXMAN WIJAYASIRI,Kurunegala Regional Centere
10,10,10,10,10,10,10,10,Lahiru Sandeep,Matara Branch
10,10,10,10,10,10,10,10,CHALANA JAYATHILAKE,Anuradhapura Branch
10,10,10,10,10,10,10,10,Deepal Kariyawasam,Siyambalape Service Complex
10,10,10,10,10,10,10,10,SUTHARSAN SUTHARSAN,Jaffna Branch
10,10,10,10,10,10,10,10,SUTHARSAN SUTHARSAN,Jaffna Branch
10,10,10,10,10,10,10,10,SUTHARSAN SUTHARSAN,Jaffna Branch
10,10,10,10,10,10,10,10,Lakmal Perera,Kuruwita Branch
10,10,10,10,10,10,10,10,PRADEEP PRIYANKARA,Embilipitiya Branch
10,10,10,10,10,10,10,10,Lahiru Sandeep,Matara Branch
10,10,10,10,10,10,10,10,Samith Wickramasinghe,Siyambalape Service Complex
10,10,10,10,10,10,10,10,Deepal Kariyawasam,Siyambalape Service Complex
10,10,10,10,10,10,10,10,UMESH SABARAGAMUWA,Rathmalana Branch
10,10,10,10,10,10,10,10,Lahiru Sandeep,Matara Branch
10,10,10,10,10,10,10,10,KAVINGA KITHULGODA,Rathmalana Branch
10,10,10,10,10,10,10,10,LAXMAN WIJAYASIRI,Kurunegala Regional Centere
10,10,10,10,10,10,10,10,UMESH SABARAGAMUWA,Rathmalana Branch
10,10,10,10,10,10,10,10,KAPILA KARUNARATHNA,Anuradhapura Branch
10,10,10,10,10,10,10,10,KALANA SILVA,Tissamaharama Branch
10,10,10,10,10,10,10,10,BUDDHIKA RAJAPAKSE,Siyambalape Service Complex
10,10,10,10,10,10,10,10,JENISTAN NEJUID,Vavuniya Branch
10,10,10,10,10,10,10,10,SUTHARSAN SUTHARSAN,Jaffna Branch
10,10,10,10,10,10,10,10,KAVINGA KITHULGODA,Rathmalana Branch
10,10,10,10,10,10,10,10,JANAKA HERATH,Kurunegala Regional Centere
10,10,10,10,10,10,10,10,CHALANA JAYATHILAKE,Anuradhapura Branch
10,10,10,10,10,10,10,10,Samith Wickramasinghe,Siyambalape Service Complex
10,10,10,10,10,10,10,10,Deepal Kariyawasam,Siyambalape Service Complex
10,10,10,10,10,10,10,10,Samith Wickramasinghe,Siyambalape Service Complex
10,10,10,10,10,10,10,10,CHANDRAKUMARA KODIPPILI,Siyambalape Service Complex
10,10,10,10,10,10,10,10,ASIRI HERATH,Balagolla Branch
10,10,10,10,10,10,10,10,Lahiru Sandeep,Matara Branch
10,10,10,10,10,10,10,10,Lahiru Sandeep,Matara Branch
8,8,8,10,10,8,10,10,Samith Wickramasinghe,Siyambalape Service Complex
10,10,10,10,10,10,10,10,Deepal Kariyawasam,Siyambalape Service Complex
10,10,10,10,10,10,10,10,BUDDHIKA RAJAPAKSE,Siyambalape Service Complex
10,10,10,10,10,10,10,10,Deepal Kariyawasam,Siyambalape Service Complex
10,10,10,10,10,10,10,10,KAVINGA KITHULGODA,Rathmalana Branch
10,10,10,10,10,10,10,10,CHALANA JAYATHILAKE,Anuradhapura Branch
10,10,10,10,10,10,10,10,ASIRI HERATH,Balagolla Branch
10,10,10,10,10,10,10,10,Lahiru Sandeep,Matara Branch
10,10,10,10,10,10,10,10,Lahiru Sandeep,Matara Branch
10,10,10,10,10,10,10,10,KAVINGA KITHULGODA,Rathmalana Branch
9,9,9,9,9,9,9,9,UMESH SABARAGAMUWA,Rathmalana Branch
9,9,9,9,9,9,9,9,KAVINGA KITHULGODA,Rathmalana Branch
10,10,10,10,10,10,10,10,Samith Wickramasinghe,Siyambalape Service Complex
10,10,10,10,10,10,10,10,Deepal Kariyawasam,Siyambalape Service Complex
10,10,10,10,10,10,10,10,CHALANA JAYATHILAKE,Anuradhapura Branch
10,10,10,10,10,10,10,10,KAPILA KARUNARATHNA,Anuradhapura Branch
10,10,10,10,10,10,10,10,ASIRI HERATH,Balagolla Branch
8,8,8,8,8,8,8,8,DHANUSHKA WICKRAMARACHCHIGE,Siyambalape Service Complex
7,7,5,8,8,10,7,8,Samith Wickramasinghe,Siyambalape Service Complex
10,10,8,7,7,8,8,8,KAVINGA KITHULGODA,Rathmalana Branch
6,6,6,2,9,10,10,2,BUDDHIKA RAJAPAKSE,Siyambalape Service Complex
8,8,8,6,4,7,8,5,Samith Wickramasinghe,Siyambalape Service Complex
10,10,6,10,10,10,10,10,UMESH SABARAGAMUWA,Rathmalana Branch
9,9,9,9,9,9,9,9,KAVINGA KITHULGODA,Rathmalana Branch
9,9,9,9,9,9,9,9,IRANGA DISSANAYAKA,Kurunegala Regional Centere
9,9,9,9,9,9,9,9,Deepal Kariyawasam,Siyambalape Service Complex
9,9,9,9,9,9,9,9,KAVINGA KITHULGODA,Rathmalana Branch
9,9,9,9,9,9,9,9,KAVINGA KITHULGODA,Rathmalana Branch
